from_port,to_port,distance_nm,source
TRALI,DZALG,1225,manual
LYBEN,TRIST,731,auto
LYMRA,LYBEN,248,manual
TRALI,LYMRA,704,manual
OMSOH,AEKLF,70,manual
INMUN,OMSOH,843,auto
INCCU,MYPKG,1440,manual
MYPKG,INCCU,1440,manual
IDBLW,MYPKG,172,manual
EGSUZ,SAJED,643,manual
TRMER,EGSUZ,453,manual
TRIST,TRMER,798,manual
TRALI,TRIST,257,auto
EGALY,TRALI,554,manual
EGSUZ,EGALY,257,manual
SAJED,EGSUZ,644,manual
SADMM,PKKHI,938,auto
AEJEA,SADMM,252,auto
PKKHI,AEJEA,707,auto
CNZOS,EGALY,7420,auto
CNTYU,INJDP,5462,auto
CNHUA,CNTYU,1479,auto
AEJEA,AEKLF,233,auto
AEJEA,BDCGP,3238,auto
AEJEA,BEANR,6340,auto
AEJEA,BRSSZ,9351,auto
AEJEA,CNAQG,6036,auto
AEJEA,CNCGU,5730,auto
AEJEA,CNCOZ,5092,auto
AEJEA,CNDAL,6147,auto
AEJEA,CNDGG,4972,auto
AEJEA,CNFAN,4852,auto
AEJEA,CNGCT,5010,auto
AEJEA,CNGGZ,4970,auto
AEJEA,CNHMN,4967,auto
AEJEA,CNJMN,5003,auto
AEJEA,CNLYG,5953,auto
AEJEA,CNNAS,4956,auto
AEJEA,CNNGB,5572,auto
AEJEA,CNSHA,5725,auto
AEJEA,CNSHK,4947,auto
AEJEA,CNSWA,5146,auto
AEJEA,CNSWE,5013,auto
AEJEA,CNTAC,5723,auto
AEJEA,CNTAO,5995,auto
AEJEA,CNZJG,5770,auto
AEJEA,DZALG,4540,auto
AEJEA,EGSOK,2925,auto
AEJEA,HKHKG,4975,auto
AEJEA,INMUN,919,auto
AEJEA,INNSA,1284,auto
AEJEA,KRPUS,6010,auto
AEJEA,LKCMB,1948,auto
AEJEA,LYMSR,3960,auto
AEJEA,MYPKG,3328,auto
AEJEA,SGSIN,3496,auto
AEJEA,THBKK,4384,auto
AEJEA,THLCH,4327,auto
AEJEA,THSCS,4384,auto
AEJEA,THSSW,4384,auto
AEJEA,TWKEL,5366,auto
AEJEA,TWKHH,5153,auto
AEJEA,TWTPE,5339,auto
AEJEA,TWTXG,5259,auto
AEJEA,VNSGN,4169,auto
