code,name_en,name_cn,man_in,portstay_time,wait_time,lat,lon
"AEAUH","ABU DHABI","","1","","","24.47","54.37"
"AEDXB","DUBAI","","","","","25.25","55.28"
"AEFJR","FUJAIRAH","","","","","25.12","56.33"
"AEJEA","JEBEL ALI, UAE","","2","","0","25.02","55.03"
"AEKLF","PORT OF KHOR AL FAKKAN","","2","144","120","25.53","56.35"
"BDCGP","CHITTAGONG/CHITTAGONG","","","","","22.27","91.8"
"BDDAC","DHAKA/DHAKA","","","","","23.73","90.39"
"BEANR","ANTWERP","","","","","51.23","4.42"
"BRSSZ","SANTOS","","","","","-23.97","-46.3"
"CNAJG","安吉港","","","","","30.95","120.0"
"CNAQG","ANQING","","","","","30.53","117.05"
"CNBIH","BEIHAI","","","","","21.49","109.12"
"CNBJS","BEIJING","","","","","39.92","116.4"
"CNCDU","CHENGDU","","","","","30.57","104.07"
"CNCGC","CHANGCHUN","","","","","43.88","125.32"
"CNCGU","CHANGSHU","","","","","31.65","120.74"
"CNCOZ","CHAOZHOU","","","","","23.66","116.62"
"CNCQI","CHONGQING","","","","","29.56","106.55"
"CNCSH","CHANGSHA","","","","","28.23","112.94"
"CNCWN","CHIWAN","","","","","22.59","113.84"
"CNDAL","DALIAN","","","","","38.91","121.6"
"CNDCB","CNDCB(大铲湾) TERMINAL","","","","","22.53","113.87"
"CNDGG","DONGGUAN","","","","","23.04","113.75"
"CNFAN","FANGCHENGGANG","","","","","21.62","108.35"
"CNFOS","FOSHAN","","","","","23.02","113.12"
"CNFZH","FUZHOU","","","","","26.07","119.4"
"CNGCT","","","","","0","",""
"CNGGZ","GUANGZHOU","","","","","23.1","113.32"
"CNGYA","GUIYANG","","","","","26.65","106.63"
"CNHAZ","HANGZHOU","","","","","30.27","120.15"
"CNHEY","HEYUAN","","","","","23.73","114.69"
"CNHFI","HEFEI","","","","","31.86","117.28"
"CNHHH","HOHHOT","","","","","40.84","111.75"
"CNHKO","HAIKOU","","","","","20.04","110.35"
"CNHMN","HUMEN","","","","","22.92","113.41"
"CNHRN","HARBIN","","","","","45.75","126.65"
"CNHSC","SHAOGUAN","","","","","24.8","113.6"
"CNHSI","HUANGSHI","","","","","30.23","115.04"
"CNHUA","HUANGPU","","","","","23.11","113.36"
"CNHUI","HUIZHOU","","","","","23.08","114.41"
"CNJAS","JIAXING, ZHEJIANG PROVINCE","","","","","30.75","121.18"
"CNJGY","JIANG YIN PORT","","","","","31.91","120.28"
"CNJIU","JIUJIANG","","","","","29.73","116.0"
"CNJMN","JIANGMEN","","","","","22.59","113.08"
"CNJNA","JINAN","","","","","36.65","116.98"
"CNJYG","JIEYANG","","","","","23.55","116.37"
"CNKNM","KUNMING","","","","","25.04","102.73"
