vessel_code,vessel_name,speed_knots,hsfo_mt_day,lsfo_mt_day,mgo_mt_day
CSJ,CHANG SHENG JI 7,11.0,,12.0,1.5
CUBK,CUL BANGKOK,12.0,,15.0,
CUBK,CUL BANGKOK,12.5,,15.5,
CUBK,CUL BANGKOK,13.0,,17.6,
CUBK,CUL BANGKOK,13.5,,19.6,
CUBK,CUL BANGKOK,14.0,,21.6,
CUBK,CUL BANGKOK,14.5,,23.8,
CUBK,CUL BANGKOK,15.0,,25.3,
CUBK,CUL BANGKOK,15.5,,27.8,
CUBK,CUL BANGKOK,16.0,,29.6,
CUBK,CUL BANGKOK,16.5,,33.3,
CUBK,CUL BANGKOK,17.0,,35.5,
CUBK,CUL BANGKOK,17.5,,36.1,
CUBK,CUL BANGKOK,18.0,,38.6,
CUHC,CUL HOCHIMINH,12.0,,18.0,
CUHC,CUL HOCHIMINH,12.5,,20.0,
CUHC,CUL HOCHIMINH,13.0,,21.5,
CUHC,CUL HOCHIMINH,13.5,,23.0,
CUHC,CUL HOCHIMINH,14.0,,25.0,
CUHC,CUL HOCHIMINH,14.5,,26.5,
CUHC,CUL HOCHIMINH,15.0,,28.5,
CUHC,CUL HOCHIMINH,15.5,,30.5,
CUHC,CUL HOCHIMINH,16.0,,33.0,
CUHC,CUL HOCHIMINH,16.5,,36.0,
CUHC,CUL HOCHIMINH,17.0,,39.0,
CUHC,CUL HOCHIMINH,17.5,,42.0,
CUHC,CUL HOCHIMINH,18.0,,46.0,
CUHM,CUL HUMEN,12.0,,24.0,
CUHM,CUL HUMEN,12.5,,24.5,
CUHM,CUL HUMEN,13.0,,26.0,
CUHM,CUL HUMEN,13.5,,27.5,
CUHM,CUL HUMEN,14.0,,27.5,
CUHM,CUL HUMEN,15.0,,28.5,
CUHP,CUL HAIPHONG,9.4,,9.4,1.2
CUHP,CUL HAIPHONG,10.18,,10.18,1.2
CUHP,CUL HAIPHONG,11.63,,11.63,1.2
CUHP,CUL HUANGPU,12.0,,9.3,1.2
CUHP,CUL HUANGPU,12.5,,9.44,1.2
CUHP,CUL HAIPHONG,12.73,,12.73,1.2
CUHP,CUL HUANGPU,13.0,,10.61,1.2
CUHP,CUL HUANGPU,13.5,,11.87,1.2
CUHP,CUL HUANGPU,14.0,,13.23,1.2
CUHP,CUL HAIPHONG,14.14,,14.14,1.2
CUHP,CUL HUANGPU,14.5,,14.68,1.2
CUHP,CUL HUANGPU,15.0,,16.5,1.2
CUHP,CUL HUANGPU,15.5,,18.1,1.2
CUHP,CUL HAIPHONG,15.76,,15.76,1.2
CUHP,CUL HUANGPU,16.0,,19.8,1.2
CUHP,CUL HUANGPU,16.5,,21.8,1.2
CUHP,CUL HUANGPU,17.0,,24.4,1.2
CUHP,CUL HAIPHONG,17.2,,17.2,1.2
CUHP,CUL HUANGPU,17.5,,26.25,1.2
CUHP,CUL HUANGPU,18.0,,28.53,1.2
CUHP,CUL HAIPHONG,18.26,,18.26,1.2
CUJK,CUL JAKARTA,12.0,,27.3,
CUJK,CUL JAKARTA,12.5,,29.5,
CUJK,CUL JAKARTA,13.0,,33.0,
CUJK,CUL JAKARTA,13.5,,38.2,
CUJK,CUL JAKARTA,14.0,,39.8,
CUJK,CUL JAKARTA,14.5,,42.8,
CUJK,CUL JAKARTA,15.0,,48.8,
CUJK,CUL JAKARTA,15.5,,60.0,
CUJK,CUL JAKARTA,16.0,,85.8,
CUJK,CUL JAKARTA,16.5,,70.0,
CUJK,CUL JAKARTA,17.0,,78.0,
CUJK,CUL JAKARTA,17.5,,84.0,
CUJK,CUL JAKARTA,18.0,,91.0,
CUKL,CUL KLANG,12.0,,21.2,
CUKL,CUL KLANG,12.5,,23.6,
CUKL,CUL KLANG,13.0,,26.7,
CUKL,CUL KLANG,13.5,,28.2,
CUKL,CUL KLANG,14.0,,30.5,
CUKL,CUL KLANG,14.5,,32.2,
CUKL,CUL KLANG,15.0,,34.6,
CUKL,CUL KLANG,15.5,,35.2,
CUKL,CUL KLANG,16.0,,36.9,
CUKL,CUL KLANG,16.5,,37.6,
CUKL,CUL KLANG,17.0,,38.8,
CUKL,CUL KLANG,17.5,,41.3,
CULC,CUL Laemchabang,11.0,,17.0,
CULC,CUL Laemchabang,11.5,,18.0,
CULC,CUL LAEMCHABANG,12.0,,12.93,
CULC,CUL LAEMCHABANG,12.5,,14.29,
CULC,CUL LAEMCHABANG,13.0,,15.76,
CULC,CUL LAEMCHABANG,13.5,,17.35,
CULC,CUL LAEMCHABANG,14.0,,19.06,
CULC,CUL LAEMCHABANG,14.5,,20.91,
CULC,CUL LAEMCHABANG,15.0,,23.02,
CULC,CUL LAEMCHABANG,15.5,,24.98,
CULC,CUL LAEMCHABANG,16.0,,27.22,
CULC,CUL LAEMCHABANG,16.5,,29.62,
CULC,CUL LAEMCHABANG,17.0,,32.16,
CULC,CUL LAEMCHABANG,17.5,,34.85,
CULC,CUL LAEMCHABANG,18.0,,37.7,
CUML,CUL MANILA,12.0,,27.3,
CUML,CUL MANILA,12.5,,31.5,
CUML,CUL MANILA,13.0,,37.7,
CUML,CUL MANILA,13.5,,41.7,
CUML,CUL MANILA,14.0,,46.0,
CUML,CUL MANILA,14.5,,49.0,
CUML,CUL MANILA,15.0,,52.0,
CUML,CUL MANILA,15.5,,57.0,
CUNS,CUL NANSHA,11.0,,12.0,
CUNS,CUL NANSHA,11.5,,15.0,
CUNS,CUL NANSHA,12.0,,13.84,
CUNS,CUL NANSHA,12.5,,15.25,
CUNS,CUL NANSHA,13.0,,16.23,
CUNS,CUL NANSHA,13.5,,17.27,
CUNS,CUL NANSHA,14.0,,18.32,
CUNS,CUL NANSHA,14.5,,20.06,
CUNS,CUL NANSHA,15.0,,21.93,
CUNS,CUL NANSHA,15.5,,23.26,
CUNS,CUL NANSHA,16.0,,24.64,
CUNS,CUL NANSHA,16.5,,26.56,
CUNS,CUL NANSHA,17.0,,30.15,
CUNS,CUL NANSHA,17.5,,32.16,
CUNS,CUL NANSHA,18.0,,34.34,
CUSK,CUL SHEKOU,12.0,,18.0,
CUSK,CUL SHEKOU,12.5,,20.0,
CUSK,CUL SHEKOU,13.0,,21.5,
CUSK,CUL SHEKOU,13.5,,23.0,
CUSK,CUL SHEKOU,14.0,,25.0,
CUSK,CUL SHEKOU,14.5,,26.5,
CUSK,CUL SHEKOU,15.0,,28.5,
CUSK,CUL SHEKOU,15.5,,30.5,
CUSK,CUL SHEKOU,16.0,,33.0,
CUSK,CUL SHEKOU,16.5,,36.0,
CUSK,CUL SHEKOU,17.0,,39.0,
CUSK,CUL SHEKOU,17.5,,42.0,
CUSK,CUL SHEKOU,18.0,,46.0,
CUXM,CUL XIAMEN,12.0,,24.3,
CUXM,CUL XIAMEN,12.5,,24.9,
CUXM,CUL XIAMEN,13.0,,25.4,
CUXM,CUL XIAMEN,13.5,,26.4,
CUXM,CUL XIAMEN,14.0,,27.3,
CUXM,CUL XIAMEN,14.5,,28.1,
CUXM,CUL XIAMEN,15.0,,29.4,
CUXM,CUL XIAMEN,15.5,,30.7,
CUXM,CUL XIAMEN,16.0,,32.0,
CUYP,CUL YANGPU,12.0,,13.8,
CUYP,CUL YANGPU,12.5,,14.9,
CUYP,CUL YANGPU,13.0,,16.1,
CUYP,CUL YANGPU,13.5,,17.4,
CUYP,CUL YANGPU,14.0,,19.2,
CUYP,CUL YANGPU,14.5,,21.3,
CUYP,CUL YANGPU,15.0,,22.8,
CUYP,CUL YANGPU,15.5,,24.5,
CUYP,CUL YANGPU,16.0,,27.2,
CUYP,CUL YANGPU,16.5,,28.1,
CUYP,CUL YANGPU,17.0,,29.8,
CUYP,CUL YANGPU,17.5,,33.3,
CUYP,CUL YANGPU,18.0,,35.6,
FULI,FU LIAN,12.5,,20.0,
HAMD,HAIAN MIND,11.0,,22.0,
HAMD,HAIAN MIND,11.5,,22.5,
HAMD,HAIAN MIND,12.0,,24.0,
HAMD,HAIAN MIND,12.5,,24.5,
HAMD,HAIAN MIND,13.0,,27.0,
HAMD,HAIAN MIND,13.5,,27.5,
HAMD,HAIAN MIND,14.0,,30.0,
HAMD,HAIAN MIND,14.5,,32.0,
HAMD,HAIAN MIND,15.0,,34.0,
HAMD,HAIAN MIND,15.5,,36.0,
HAMD,HAIAN MIND,16.0,,39.0,
HDHY,HDX HONGYUAN,11.0,,20.0,
KRCL,KR CELEBES,9.8,,6.6,
KRCL,KR CELEBES,10.0,,9.93,
KRCL,KR CELEBES,10.5,,9.93,
KRCL,KR CELEBES,11.0,,11.55,
KRCL,KR CELEBES,12.3,,12.3,
KRCL,KR CELEBES,13.4,,15.7,
KRCL,KR CELEBES,14.1,,18.1,
KRTM,KR TASMAN,11.0,,18.0,
KRTM,KR TASMAN,11.5,,18.5,
KRTM,KR TASMAN,12.0,,19.5,
KRTM,KR TASMAN,12.5,,22.0,
KRTM,KR TASMAN,13.0,,23.0,
KRTM,KR TASMAN,13.5,,25.0,
KRTM,KR TASMAN,14.0,,27.0,
KRTM,KR TASMAN,14.5,,32.0,
KRTM,KR TASMAN,15.0,,35.0,
KRTM,KR TASMAN,15.5,,38.0,
KRTM,KR TASMAN,16.0,,42.0,
OSGB,OSG BOSSTEC,12.0,,15.8,
OSGB,OSG BOSSTEC,12.5,,16.5,
OSGB,OSG BOSSTEC,13.0,,17.5,
OSGB,OSG BOSSTEC,13.5,,18.8,
OSGB,OSG BOSSTEC,14.0,,20.2,
OSGB,OSG BOSSTEC,14.5,,21.5,
OSGB,OSG BOSSTEC,15.0,,22.8,
OSGB,OSG BOSSTEC,15.5,,23.5,
OSGB,OSG BOSSTEC,16.0,,24.0,
OSGB,OSG BOSSTEC,16.5,,24.5,
OSGB,OSG BOSSTEC,17.0,,25.0,
OSGB,OSG BOSSTEC,17.5,,26.0,
SISO,SINAR SOLO,12.0,,14.0,1.2
SISO,SINAR SOLO,12.5,,14.5,1.2
SISO,SINAR SOLO,13.0,,15.1,1.2
SISO,SINAR SOLO,13.5,,15.7,1.2
SISO,SINAR SOLO,14.0,,16.3,1.2
SISO,SINAR SOLO,14.5,,16.8,1.2
SISO,SINAR SOLO,15.0,,17.4,1.2
SISO,SINAR SOLO,15.5,,18.0,1.2
SISO,SINAR SOLO,16.0,,18.6,1.2
SISO,SINAR SOLO,16.5,,19.1,1.2
SISO,SINAR SOLO,17.0,,19.7,1.2
SISO,SINAR SOLO,17.5,,20.3,1.2
SISO,SINAR SOLO,18.0,,20.9,1.2
STBL,STAR BLESSING,12.0,,16.5,
STBL,STAR BLESSING,12.5,,17.0,
STBL,STAR BLESSING,13.0,,18.7,
STBL,STAR BLESSING,13.5,,19.8,
STBL,STAR BLESSING,14.0,,21.4,
STBL,STAR BLESSING,14.5,,22.5,
STBL,STAR BLESSING,15.0,,24.0,
STBL,STAR BLESSING,15.5,,26.5,
STBL,STAR BLESSING,16.0,,27.4,
STBL,STAR BLESSING,16.5,,29.0,
TGLK,TIGER LONGKOU,11.0,,14.0,3.0
TGLK,TIGER LONGKOU,11.5,,15.5,3.5
TGLK,TIGER LONGKOU,12.0,,16.0,3.5
TGLK,TIGER LONGKOU,12.5,,18.0,3.5
TGLK,TIGER LONGKOU,13.0,,18.0,3.0
TGLK,TIGER LONGKOU,13.5,,21.0,3.5
TGLK,TIGER LONGKOU,14.0,,23.2,3.0
TGLK,TIGER LONGKOU,14.5,,25.0,3.5
TGLK,TIGER LONGKOU,15.0,,27.3,3.0
TGLK,TIGER LONGKOU,16.0,,33.5,3.0
